Product,Sale Date,Quantity Sold,Sale Price (USD),Total Sale (USD)
Mouse,2022-06-09,13,63.8,829.43
Printer,2023-08-28,18,194.14,3494.44
Headphones,2022-12-24,14,83.01,1162.19
Smartphone,2022-03-23,19,392.38,7455.22
Smartwatch,2022-08-17,11,101.54,1116.89
Smartwatch,2024-01-14,19,319.33,6067.35
Camera,2023-07-20,6,436.09,2616.53
Laptop,2022-08-01,5,1489.78,7448.91
Smartphone,2023-05-28,2,696.16,1392.31
Smartphone,2024-02-13,16,520.24,8323.82
Mouse,2022-06-25,18,94.56,1702.1
Smartwatch,2022-10-13,16,309.44,4951.02
Monitor,2024-02-14,16,154.13,2466.09
Laptop,2023-12-18,12,551.95,6623.37
Mouse,2022-05-08,8,92.12,736.96
Mouse,2022-11-17,11,94.06,1034.71
Smartwatch,2023-01-03,16,202.08,3233.31
Keyboard,2022-09-15,10,46.85,468.52
Monitor,2023-01-01,3,140.54,421.62
Tablet,2023-03-31,20,284.67,5693.31
Keyboard,2023-04-05,17,59.03,1003.56
Tablet,2022-04-05,14,211.45,2960.23
Smartwatch,2023-04-22,20,341.01,6820.26
Camera,2023-12-10,2,1146.01,2292.03
Laptop,2022-03-10,7,1447.9,10135.31
Camera,2023-03-05,20,1384.51,27690.21
Keyboard,2022-08-25,11,42.51,467.66
Tablet,2022-01-03,20,475.04,9500.76
Mouse,2022-08-01,6,59.46,356.78
Keyboard,2023-10-07,7,83.31,583.17
Smartphone,2022-01-04,9,626.09,5634.83
Printer,2023-11-04,10,380.66,3806.6
Keyboard,2023-04-23,12,56.3,675.59
Smartphone,2022-05-20,12,386.13,4633.62
Headphones,2022-10-29,17,154.09,2619.5
Monitor,2023-02-10,10,397.85,3978.46
Smartwatch,2023-02-07,9,276.41,2487.68
Smartphone,2022-12-27,7,613.48,4294.33
Headphones,2022-05-03,1,239.56,239.56
Camera,2023-03-17,6,871.38,5228.26
Smartwatch,2022-11-24,14,146.72,2054.14
Printer,2023-09-23,1,153.11,153.11
Laptop,2022-02-20,3,1322.39,3967.18
Camera,2024-01-31,10,984.23,9842.28
Keyboard,2022-11-30,15,94.22,1413.32
Smartwatch,2022-08-31,2,141.94,283.88
Camera,2022-01-30,3,1086.84,3260.51
Camera,2023-01-09,18,1185.47,21338.44
Mouse,2023-05-08,18,83.05,1494.96
Smartwatch,2023-09-02,8,185.32,1482.56
Laptop,2023-08-28,11,1254.51,13799.6
Laptop,2022-04-15,10,603.42,6034.21
Monitor,2022-04-07,19,284.14,5398.72
Tablet,2023-10-01,7,355.13,2485.88
Headphones,2022-07-05,19,97.72,1856.62
Keyboard,2022-04-19,11,89.59,985.45
Laptop,2022-03-14,15,787.07,11806.05
Keyboard,2022-02-20,5,188.48,942.42
Mouse,2023-05-11,10,38.05,380.47
Laptop,2023-05-25,4,710.97,2843.88
Printer,2022-10-05,15,304.34,4565.16
Monitor,2022-05-19,12,391.8,4701.66
Monitor,2023-04-03,15,253.56,3803.39
Smartwatch,2022-06-14,3,188.35,565.05
Camera,2023-07-31,20,296.95,5938.94
Monitor,2022-03-11,16,246.85,3949.63
Smartphone,2022-08-11,10,769.27,7692.68
Smartphone,2024-02-10,12,893.42,10721.06
Camera,2023-12-14,16,402.62,6441.91
Keyboard,2024-01-30,5,151.42,757.1
Smartphone,2022-06-02,3,779.49,2338.46
Mouse,2024-01-21,12,35.83,429.92
Laptop,2023-04-25,9,1295.17,11656.5
Smartphone,2024-01-25,6,576.16,3456.98
Printer,2023-01-01,20,328.14,6562.85
Tablet,2023-08-29,12,228.64,2743.7
Monitor,2022-03-26,2,405.3,810.61
Smartphone,2023-07-15,13,557.83,7251.81
Smartwatch,2022-01-16,7,310.06,2170.4
Camera,2023-10-07,4,1271.64,5086.54
Tablet,2022-10-17,17,569.1,9674.62
Monitor,2022-11-30,6,329.51,1977.08
Laptop,2022-05-03,15,1042.23,15633.49
Headphones,2022-10-14,15,71.33,1069.93
Smartwatch,2023-05-07,19,169.19,3214.59
Tablet,2022-12-21,9,325.5,2929.46
Laptop,2023-05-12,14,876.27,12267.84
Smartwatch,2023-04-04,2,218.58,437.16
Smartphone,2022-11-30,5,336.38,1681.91
Printer,2024-01-17,16,200.27,3204.35
Smartphone,2022-11-11,5,649.19,3245.93
Headphones,2022-01-18,3,57.64,172.91
Smartwatch,2023-03-02,14,181.56,2541.82
Smartwatch,2023-01-17,17,270.44,4597.51
Monitor,2023-01-20,15,210.99,3164.85
Mouse,2022-11-06,5,33.02,165.12
Smartwatch,2023-10-17,2,173.78,347.56
Camera,2022-05-14,20,1302.25,26044.96
Mouse,2023-11-10,10,57.25,572.48
Monitor,2022-07-11,14,389.45,5452.33
Laptop,2023-09-22,3,1424.45,4273.34
Smartphone,2023-02-09,13,716.89,9319.63
Monitor,2023-04-13,13,233.04,3029.56
Laptop,2022-12-12,12,1112.18,13346.13
Tablet,2023-11-18,3,615.25,1845.75
Monitor,2023-08-11,8,321.64,2573.11
Tablet,2022-11-02,4,582.13,2328.51
Mouse,2023-08-06,16,49.75,795.98
Monitor,2022-10-23,3,115.96,347.88
Headphones,2022-10-13,17,201.49,3425.29
Mouse,2023-07-03,7,85.09,595.61
Smartphone,2023-04-25,15,567.26,8508.95
Keyboard,2023-03-28,13,59.12,768.6
Camera,2023-10-17,20,646.68,12933.66
Headphones,2023-03-25,10,258.6,2585.95
Mouse,2022-09-07,17,49.77,846.12
Tablet,2022-06-03,1,303.81,303.81
Tablet,2022-09-15,14,325.3,4554.19
Mouse,2023-12-17,3,77.08,231.23
Mouse,2023-08-02,10,57.93,579.33
Tablet,2023-02-06,19,453.16,8610.02
Smartphone,2022-09-09,18,511.03,9198.59
Monitor,2022-03-29,17,112.42,1911.21
Mouse,2022-11-12,13,92.53,1202.94
Camera,2022-03-17,16,1178.93,18862.93
Keyboard,2023-04-03,16,183.26,2932.21
Headphones,2022-06-26,5,237.91,1189.54
Smartphone,2022-11-22,18,595.23,10714.07
Smartwatch,2023-09-04,9,142.49,1282.45
Headphones,2022-03-08,8,273.32,2186.54
Smartwatch,2023-08-19,11,349.61,3845.73
Keyboard,2022-10-10,13,191.48,2489.19
Headphones,2023-03-04,6,77.36,464.18
Tablet,2023-01-17,6,604.74,3628.41
Smartphone,2023-12-20,4,866.18,3464.73
Monitor,2024-01-26,1,369.05,369.05
Laptop,2023-08-12,5,537.4,2687.02
Mouse,2022-04-28,9,53.04,477.4
Smartphone,2023-05-19,9,944.69,8502.22
Headphones,2022-10-10,12,228.53,2742.39
Smartwatch,2022-12-26,20,107.07,2141.36
Monitor,2023-10-22,2,286.81,573.61
Monitor,2022-07-20,11,355.58,3911.39
Monitor,2023-07-02,5,415.98,2079.89
Keyboard,2023-05-17,17,152.01,2584.21
Mouse,2022-12-03,5,97.38,486.89
Laptop,2023-10-26,10,1268.27,12682.74
Headphones,2023-06-20,4,289.27,1157.07
Camera,2022-01-04,6,1253.03,7518.16
Laptop,2023-11-06,20,712.14,14242.89
Printer,2023-07-10,14,371.52,5201.25
Smartwatch,2022-11-18,14,230.63,3228.79
Camera,2022-04-20,15,447.11,6706.64
Keyboard,2023-04-12,12,146.27,1755.23
Printer,2023-03-04,20,259.94,5198.77
Laptop,2022-12-10,9,864.91,7784.18
Printer,2023-08-27,10,297.8,2978.03
Tablet,2024-01-16,20,403.47,8069.32
Keyboard,2023-10-26,16,160.94,2575.09
Keyboard,2022-04-17,6,181.64,1089.83
Camera,2023-09-30,19,844.19,16039.65
Laptop,2022-07-31,5,504.8,2524.0
Smartphone,2022-08-17,20,447.38,8947.56
Tablet,2022-03-13,6,241.53,1449.21
Camera,2022-04-28,17,1311.4,22293.81
Keyboard,2022-07-14,15,128.59,1928.84
Tablet,2023-07-16,18,317.17,5709.14
Monitor,2023-10-02,9,240.32,2162.87
Monitor,2023-11-21,16,188.68,3018.83
Tablet,2022-07-14,8,749.39,5995.09
Headphones,2022-08-04,3,158.26,474.77
Smartwatch,2022-02-24,10,265.38,2653.85
Mouse,2023-10-13,6,94.87,569.22
Printer,2023-07-19,2,57.64,115.29
Smartphone,2023-05-17,19,511.81,9724.38
Smartwatch,2023-11-25,14,282.48,3954.77
Tablet,2022-03-03,7,209.38,1465.63
Headphones,2022-05-09,13,145.67,1893.7
Printer,2023-07-07,6,173.52,1041.12
Monitor,2023-06-22,17,236.27,4016.65
Camera,2022-06-04,1,610.11,610.11
Tablet,2022-05-08,3,566.58,1699.73
Smartphone,2022-12-09,14,683.11,9563.54
Smartwatch,2022-04-15,7,131.92,923.41
Smartphone,2023-06-22,12,322.21,3866.51
Camera,2022-09-17,6,1467.59,8805.53
Monitor,2022-08-29,20,320.54,6410.72
Smartphone,2023-12-12,8,400.69,3205.53
Laptop,2022-09-22,3,1285.94,3857.83
Laptop,2023-07-04,1,705.47,705.47
Smartwatch,2022-05-29,5,259.44,1297.21
Monitor,2024-02-06,8,206.65,1653.23
Laptop,2023-04-01,20,501.03,10020.6
Smartphone,2022-08-12,7,941.05,6587.37
Laptop,2024-01-19,20,1072.06,21441.28
Smartphone,2022-03-21,18,825.71,14862.82
Smartwatch,2022-12-23,3,233.54,700.61
Printer,2023-11-15,9,55.47,499.24
Mouse,2022-10-14,2,38.65,77.29
Keyboard,2022-07-18,2,106.57,213.14
Camera,2023-05-23,1,352.78,352.78
Camera,2022-02-20,5,333.8,1669.02
Keyboard,2022-02-28,11,67.84,746.23
Smartwatch,2023-08-04,4,158.36,633.46
Smartwatch,2022-09-23,3,245.72,737.16
Mouse,2022-08-16,1,92.18,92.18
Printer,2023-04-13,10,144.19,1441.91
Mouse,2024-01-20,1,47.57,47.57
Printer,2024-02-11,6,381.01,2286.08
Printer,2024-02-11,1,374.09,374.09
Smartwatch,2022-06-25,20,135.43,2708.68
Camera,2023-04-21,5,691.21,3456.05
Monitor,2023-05-16,14,469.24,6569.32
Printer,2023-05-12,8,140.53,1124.21
Laptop,2023-05-30,10,552.12,5521.25
Mouse,2023-07-26,3,89.0,266.99
Monitor,2022-05-10,5,222.35,1111.77
Keyboard,2024-01-11,6,191.42,1148.51
Smartwatch,2022-08-31,10,203.47,2034.71
Keyboard,2022-03-07,6,53.9,323.43
Camera,2022-07-01,5,901.82,4509.11
Keyboard,2022-10-26,13,116.89,1519.59
Mouse,2022-11-25,12,91.43,1097.1
Mouse,2023-03-26,19,94.0,1786.04
Headphones,2023-01-19,4,146.98,587.93
Camera,2022-01-19,19,1049.1,19932.87
Headphones,2023-03-01,15,104.89,1573.37
Tablet,2023-12-31,20,639.53,12790.61
Mouse,2023-09-08,14,63.65,891.1
Camera,2022-07-03,14,388.0,5432.06
Camera,2023-07-02,13,1495.99,19447.88
Printer,2023-10-12,2,143.87,287.75
Smartphone,2022-11-02,7,611.8,4282.58
Headphones,2022-11-23,2,111.05,222.11
Headphones,2023-06-02,16,107.41,1718.61
Camera,2024-02-14,17,1435.07,24396.11
Camera,2023-12-08,8,1065.91,8527.26
Camera,2022-07-25,19,1265.98,24053.57
Monitor,2023-07-30,8,286.03,2288.23
Headphones,2022-04-29,1,160.84,160.84
Laptop,2022-07-26,18,786.67,14160.1
Mouse,2023-11-23,13,30.84,400.97
Camera,2022-06-08,20,1064.5,21290.01
Smartphone,2022-01-14,12,843.48,10121.75
Tablet,2022-05-05,1,761.55,761.55
Smartphone,2023-12-29,20,993.03,19860.51
Smartphone,2023-06-02,4,977.84,3911.37
Keyboard,2022-05-07,19,100.87,1916.46
Camera,2023-04-12,7,1049.85,7348.96
Smartwatch,2022-12-02,6,167.51,1005.03
Tablet,2022-05-08,18,730.55,13149.9
Headphones,2022-11-08,13,140.96,1832.48
Tablet,2023-04-26,6,507.99,3047.96
Monitor,2024-01-31,6,237.43,1424.55
Mouse,2022-03-14,10,64.52,645.18
Smartwatch,2022-07-27,11,266.12,2927.3
Smartwatch,2022-01-06,13,217.94,2833.27
Smartwatch,2022-05-13,6,265.34,1592.02
Laptop,2024-01-10,4,1472.58,5890.33
Smartphone,2022-08-09,19,542.51,10307.75
Tablet,2023-09-21,1,521.18,521.18
Headphones,2022-11-20,7,89.06,623.45
Headphones,2022-08-24,3,243.64,730.93
Mouse,2023-04-20,3,55.7,167.09
Tablet,2022-02-07,9,439.5,3955.49
Smartphone,2022-02-10,10,428.13,4281.34
Mouse,2023-12-30,1,48.09,48.09
Tablet,2023-12-20,7,263.08,1841.57
Laptop,2022-10-15,17,1180.11,20061.93
Tablet,2022-11-02,19,681.45,12947.6
Tablet,2024-01-19,17,689.21,11716.61
Camera,2023-05-04,9,1411.85,12706.67
Camera,2022-03-12,8,1230.78,9846.27
Tablet,2023-11-04,15,270.64,4059.53
Smartphone,2022-09-24,19,984.9,18713.1
Smartphone,2023-01-11,2,788.1,1576.2
Laptop,2022-06-13,9,864.29,7778.62
Smartwatch,2022-05-15,8,195.8,1566.38
Monitor,2023-08-01,17,404.44,6875.41
Laptop,2023-11-11,1,1374.55,1374.55
Smartphone,2022-03-15,15,700.56,10508.38
Laptop,2022-12-03,5,1280.27,6401.37
Headphones,2022-02-13,15,70.75,1061.31
Monitor,2022-04-17,8,336.6,2692.79
Printer,2023-06-28,13,230.42,2995.46
Tablet,2022-12-31,8,459.54,3676.29
Headphones,2023-06-04,10,52.77,527.66
Smartwatch,2023-05-30,1,167.8,167.8
Laptop,2022-08-01,14,1281.37,17939.12
Camera,2022-11-13,20,511.41,10228.22
Camera,2022-06-11,9,721.7,6495.27
Tablet,2022-11-16,14,397.25,5561.55
Mouse,2022-12-04,11,26.19,288.12
Smartwatch,2022-04-21,13,339.44,4412.74
Headphones,2022-10-27,19,150.18,2853.44
Laptop,2023-03-24,19,877.25,16667.66
Mouse,2022-01-24,18,36.49,656.82
Tablet,2022-10-25,15,335.19,5027.88
Keyboard,2022-02-19,14,191.28,2677.97
Printer,2023-08-30,15,277.96,4169.37
Camera,2023-01-13,16,1073.62,17177.9
Printer,2022-11-05,2,248.44,496.88
Smartwatch,2022-12-11,10,314.42,3144.18
Smartwatch,2023-04-13,15,174.02,2610.31
Tablet,2022-01-15,3,471.81,1415.44
Smartwatch,2022-09-10,8,162.76,1302.09
Smartwatch,2023-02-09,3,274.79,824.38
Printer,2023-06-06,18,79.89,1438.0
Smartwatch,2023-08-19,16,202.42,3238.72
Smartwatch,2022-06-04,6,335.77,2014.61
Tablet,2023-02-16,4,400.29,1601.17
Smartwatch,2022-07-26,14,323.21,4524.94
Monitor,2023-05-14,7,468.39,3278.71
Printer,2023-05-16,7,244.81,1713.7
Smartwatch,2023-01-18,17,319.21,5426.59
Monitor,2022-03-25,6,356.87,2141.19
Laptop,2023-08-21,20,665.84,13316.81
Monitor,2023-08-27,7,329.05,2303.32
Keyboard,2023-02-18,10,157.99,1579.88
Smartwatch,2023-07-19,9,128.2,1153.81
Smartwatch,2022-12-29,17,177.7,3020.85
Keyboard,2022-10-02,15,65.04,975.56
Smartphone,2023-04-04,16,415.41,6646.51
Tablet,2024-01-24,10,468.23,4682.31
Headphones,2022-08-22,15,185.25,2778.8
Camera,2024-01-31,2,781.4,1562.8
Monitor,2023-08-08,19,319.63,6072.93
Smartphone,2022-08-30,12,993.91,11926.86
Keyboard,2022-11-01,1,131.63,131.63
Camera,2023-09-06,15,1352.22,20283.35
Mouse,2023-02-11,4,65.66,262.65
Camera,2023-02-12,10,939.77,9397.68
Smartwatch,2022-05-18,15,211.05,3165.81
Tablet,2023-04-16,2,309.53,619.05
Printer,2023-05-23,17,58.43,993.37
Keyboard,2022-10-03,6,73.1,438.63
Mouse,2023-01-13,7,40.55,283.85
Printer,2023-03-31,14,360.47,5046.51
Laptop,2023-03-30,18,1291.48,23246.64
Monitor,2023-03-03,18,433.21,7797.7
Smartphone,2023-03-20,11,541.03,5951.32
Mouse,2023-01-13,6,48.34,290.05
Smartphone,2022-07-17,7,774.75,5423.22
Laptop,2023-12-16,11,644.36,7087.94
Keyboard,2024-01-07,19,64.33,1222.24
Headphones,2023-01-09,8,57.15,457.18
Printer,2023-09-09,7,83.71,585.94
Keyboard,2022-08-27,19,118.63,2253.9
Mouse,2022-12-26,18,40.29,725.29
Smartwatch,2023-02-08,5,150.81,754.04
Headphones,2024-01-13,16,172.29,2756.67
Camera,2023-05-05,16,1373.85,21981.55
Tablet,2022-06-25,10,528.46,5284.56
Headphones,2022-02-28,14,295.05,4130.69
Mouse,2022-05-19,15,83.16,1247.46
Camera,2023-02-20,12,1361.51,16338.13
Headphones,2022-11-06,4,235.81,943.24
Headphones,2022-03-29,9,64.97,584.77
Camera,2022-06-22,11,417.23,4589.58
Smartwatch,2023-08-02,5,144.6,723.0
Laptop,2022-06-18,15,1464.65,21969.73
Printer,2023-08-12,3,136.11,408.33
Camera,2023-12-31,3,621.42,1864.26
Headphones,2022-06-15,3,73.31,219.94
Keyboard,2022-02-06,17,125.59,2135.1
Tablet,2023-02-28,20,532.36,10647.13
Printer,2024-01-19,13,242.95,3158.31
Laptop,2022-09-19,14,684.78,9586.99
Keyboard,2023-12-16,18,125.03,2250.54
Camera,2023-07-22,17,405.98,6901.72
Mouse,2023-05-26,9,81.84,736.58
Tablet,2023-07-30,12,692.93,8315.14
Mouse,2024-02-10,20,99.09,1981.75
Printer,2022-05-29,12,57.69,692.32
Camera,2023-09-15,3,759.63,2278.88
Laptop,2022-08-31,5,732.88,3664.39
Smartphone,2022-09-21,9,476.84,4291.57
Mouse,2023-08-29,10,14.1,140.99
Smartwatch,2023-11-15,1,288.28,288.28
Monitor,2024-01-15,6,301.12,1806.73
Printer,2023-06-24,10,148.13,1481.26
Smartphone,2023-08-17,11,434.47,4779.18
Smartphone,2022-07-20,19,366.49,6963.26
Mouse,2024-01-27,1,72.63,72.63
Headphones,2023-01-25,9,217.1,1953.87
Smartphone,2022-04-25,14,858.2,12014.85
Mouse,2022-01-13,11,92.86,1021.5
Laptop,2023-12-29,2,1040.33,2080.67
Tablet,2022-02-18,17,379.62,6453.55
Laptop,2023-05-22,9,961.86,8656.71
Headphones,2023-06-25,5,175.35,876.74
Mouse,2024-01-15,10,56.36,563.6
Laptop,2023-03-13,3,1458.89,4376.68
Laptop,2024-01-21,19,1223.48,23246.13
Headphones,2023-01-05,20,112.53,2250.58
Headphones,2023-03-30,15,160.79,2411.83
Smartwatch,2022-05-04,15,219.51,3292.61
Printer,2023-08-25,14,241.77,3384.78
Smartphone,2023-08-07,19,874.33,16612.3
Headphones,2022-01-28,13,222.99,2898.82
Monitor,2022-06-05,13,430.28,5593.59
Smartphone,2022-09-03,6,448.54,2691.24
Laptop,2023-09-14,7,900.34,6302.35
Mouse,2023-03-23,15,49.99,749.83
Printer,2023-07-27,19,354.8,6741.12
Keyboard,2023-10-05,2,70.76,141.51
Camera,2023-02-26,14,1136.12,15905.68
Camera,2023-07-26,17,775.32,13180.52
Keyboard,2022-11-15,20,158.06,3161.18
Camera,2023-02-01,17,293.37,4987.31
Smartphone,2023-06-28,16,696.93,11150.82
Laptop,2022-09-09,5,1330.44,6652.18
Headphones,2022-03-12,18,290.46,5228.2
Headphones,2022-04-02,18,265.31,4775.58
Smartwatch,2023-09-03,10,162.26,1622.59
Printer,2022-06-12,7,292.87,2050.12
Camera,2022-09-15,8,1294.92,10359.34
Tablet,2023-06-17,8,755.21,6041.71
Printer,2022-01-31,4,304.14,1216.57
Mouse,2024-01-26,2,16.12,32.25
Smartwatch,2023-09-20,13,308.77,4013.99
Camera,2022-09-19,16,1410.39,22566.27
Smartwatch,2023-01-26,15,145.96,2189.37
Tablet,2022-11-16,5,731.67,3658.33
Headphones,2022-12-23,20,212.65,4253.06
Smartwatch,2023-08-15,14,251.2,3516.82
Smartphone,2023-04-05,19,977.34,18569.42
Tablet,2024-02-04,13,522.98,6798.73
Printer,2022-08-18,3,175.97,527.9
Laptop,2023-08-14,10,1213.99,12139.89
Headphones,2023-07-05,13,174.43,2267.59
Tablet,2023-06-09,10,403.8,4038.01
Laptop,2023-11-15,8,995.45,7963.62
Tablet,2022-07-07,7,231.35,1619.43
Camera,2022-10-27,20,1418.13,28362.7
Headphones,2023-11-09,13,180.99,2352.91
Mouse,2022-12-13,9,46.65,419.85
Mouse,2023-07-07,19,19.13,363.55
Headphones,2022-03-25,10,139.39,1393.92
Mouse,2022-10-15,12,33.93,407.2
Mouse,2023-04-07,19,23.87,453.52
Printer,2022-09-14,3,324.12,972.36
Laptop,2022-03-09,8,705.31,5642.47
Laptop,2023-04-10,14,1214.62,17004.69
Monitor,2023-07-14,10,318.87,3188.71
Smartwatch,2022-06-08,20,263.86,5277.21
Smartphone,2022-02-25,20,609.64,12192.83
Printer,2022-12-18,19,344.29,6541.57
Headphones,2022-10-26,14,172.52,2415.32
Smartphone,2023-05-12,4,886.66,3546.64
Printer,2024-01-20,16,286.2,4579.19
Laptop,2022-05-12,15,1041.65,15624.71
Smartwatch,2023-05-31,4,146.96,587.83
Smartphone,2023-02-03,10,965.67,9656.66
Laptop,2023-11-22,13,1037.91,13492.86
Camera,2022-04-18,11,1071.96,11791.61
Smartphone,2024-01-15,10,327.79,3277.91
Camera,2022-11-18,17,878.69,14937.65
Smartwatch,2023-02-03,2,122.29,244.58
Printer,2023-02-06,3,53.65,160.94
Laptop,2023-07-03,14,1094.65,15325.05
Printer,2022-06-06,1,67.54,67.54
Keyboard,2022-02-23,15,81.6,1224.07
Headphones,2023-10-11,6,185.4,1112.42
Mouse,2023-06-02,14,67.3,942.22
Keyboard,2022-01-02,4,90.68,362.71
Camera,2022-10-16,5,787.77,3938.84
Printer,2023-09-25,10,219.0,2190.01
Tablet,2022-02-03,16,469.48,7511.69
Smartphone,2023-12-17,3,693.48,2080.44
Smartphone,2022-02-09,3,889.39,2668.18
Smartphone,2022-04-09,7,444.73,3113.13
Mouse,2023-05-24,6,61.98,371.87
Smartwatch,2023-01-27,16,156.08,2497.35
Camera,2022-09-21,4,650.27,2601.06
Tablet,2022-10-02,11,230.16,2531.75
Smartwatch,2022-10-06,4,325.05,1300.2
Laptop,2022-09-22,13,1309.63,17025.14
Camera,2023-10-20,2,1055.9,2111.79
Keyboard,2024-01-31,10,182.57,1825.7
Printer,2023-03-07,13,122.22,1588.85
Laptop,2023-10-15,18,899.96,16199.2
Printer,2022-10-17,20,329.47,6589.45
Mouse,2023-07-14,1,76.42,76.42
Smartwatch,2023-05-01,20,175.57,3511.4
Headphones,2022-06-08,8,164.61,1316.9
Tablet,2023-03-02,11,634.93,6984.26
Smartwatch,2023-06-01,8,162.8,1302.42
Tablet,2022-05-31,8,424.57,3396.6
Camera,2022-10-14,3,320.69,962.06
Smartwatch,2023-10-28,3,292.05,876.14
Keyboard,2022-11-03,8,171.66,1373.25
Headphones,2023-06-10,17,122.21,2077.62
Keyboard,2022-11-19,8,125.15,1001.23
Camera,2022-07-25,12,705.95,8471.38
Keyboard,2023-01-20,7,90.09,630.64
Tablet,2022-04-05,12,681.06,8172.78
Monitor,2023-05-11,15,154.57,2318.55
Headphones,2022-09-13,18,299.14,5384.48
Printer,2023-07-28,12,97.58,1170.93
Smartphone,2022-07-18,14,448.81,6283.28
Camera,2023-07-07,13,565.1,7346.28
Headphones,2023-04-07,9,250.97,2258.73
Printer,2022-05-13,11,139.04,1529.43
Keyboard,2022-09-10,9,93.52,841.71
Tablet,2022-10-05,3,277.4,832.2
Printer,2022-06-20,11,256.44,2820.88
Monitor,2023-12-13,9,445.21,4006.89
Mouse,2023-02-18,10,71.29,712.86
Smartphone,2022-12-29,15,543.32,8149.8
Printer,2022-01-23,14,260.39,3645.4
Tablet,2023-07-24,5,791.47,3957.36
Monitor,2023-02-22,6,489.51,2937.08
Monitor,2022-11-04,10,355.22,3552.17
Camera,2022-10-01,17,1005.56,17094.45
Printer,2023-06-03,13,350.02,4550.24
Printer,2022-10-31,3,141.69,425.06
Smartwatch,2022-07-27,12,103.49,1241.88
Printer,2022-06-08,10,255.81,2558.1
Headphones,2024-01-15,13,207.44,2696.77
Printer,2023-01-04,11,306.65,3373.15
Keyboard,2023-11-13,14,169.92,2378.93
Smartwatch,2022-11-04,7,292.86,2050.03
Headphones,2023-12-04,1,273.09,273.09
Keyboard,2023-09-21,8,92.84,742.74
Laptop,2024-01-21,18,1166.15,20990.78
Monitor,2022-11-14,15,461.56,6923.41
Laptop,2022-06-16,4,963.43,3853.71
Printer,2022-02-14,13,106.3,1381.85
Keyboard,2023-01-01,14,60.32,844.47
Mouse,2022-11-14,14,17.45,244.26
Monitor,2022-02-16,20,463.37,9267.41
Mouse,2022-06-26,16,29.51,472.13
Mouse,2022-06-01,16,23.19,371.08
Printer,2023-03-01,8,232.3,1858.4
Monitor,2022-02-22,2,286.03,572.07
Keyboard,2023-02-01,4,117.75,470.99
Keyboard,2022-11-07,5,115.34,576.69
Printer,2023-10-31,4,381.52,1526.09
Keyboard,2023-12-16,9,194.55,1750.99
Printer,2023-01-28,15,133.91,2008.64
Smartphone,2022-05-17,12,721.44,8657.22
